name,geomaster_name,geomaster_id,admin_level,date,individuals,centroid_lon,centroid_lat,lat_max,lon_max,lat_min,lon_min,source,month,year,population_groups_concat,population_group_id,individuals_type,demography_type,households,published,numChildren,color
1,Poland,10781,Country,2022-05-04,3119196,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,NA,5,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,TRUE,0,#3c8dbc
2,Russian Federation,10791,Country,2022-05-04,714713,38.1556078125,51.488850139616,59.067055102908,36.958297741264,54.998769388622,31.669526312692,NA,5,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,FALSE,0,#3c8dbc
3,Hungary,10783,Country,2022-05-04,545311,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,NA,5,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,TRUE,0,#3c8dbc
4,Romania,10782,Country,2022-05-04,463816,25.3,45.8667,52.8667,32.3,38.8667,18.3,NA,5,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,FALSE,0,#3c8dbc
5,Republic of Moldova,10784,Country,2022-05-04,450797,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,NA,5,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,TRUE,0,#3c8dbc
6,Slovakia,10785,Country,2022-05-04,388282,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,NA,5,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,FALSE,0,#3c8dbc
