name,geomaster_name,geomaster_id,admin_level,date,individuals,centroid_lon,centroid_lat,lat_max,lon_max,lat_min,lon_min,source,month,year,population_groups_concat,population_group_id,individuals_type,demography_type,households,published,numChildren,color
2,Hungary,10783,Country,2022-03-08,203222,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,NA,3,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,FALSE,0,#3c8dbc
3,Slovakia,10785,Country,2022-03-08,153303,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,NA,3,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,FALSE,0,#3c8dbc
5,Romania,10782,Country,2022-03-08,85444,25.3,45.8667,52.8667,32.3,38.8667,18.3,NA,3,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,FALSE,0,#3c8dbc
7,Belarus,10786,Country,2022-03-08,592,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,NA,3,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,FALSE,0,#3c8dbc
