name,geomaster_name,geomaster_id,admin_level,date,individuals,centroid_lon,centroid_lat,lat_max,lon_max,lat_min,lon_min,source,month,year,population_groups_concat,population_group_id,individuals_type,demography_type,households,published,numChildren,color
2,Republic of Moldova,10784,Country,2022-03-15,344454,28.4646,47.1976,54.1976,35.464600000000004,40.1976,21.4646,NA,3,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,FALSE,0,#3c8dbc
4,Slovakia,10785,Country,2022-03-15,220977,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,NA,3,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,FALSE,0,#3c8dbc
6,Russian Federation,10791,Country,2022-03-15,155841,38.1556078125,51.488850139616,59.067055102908,36.958297741264,54.998769388622,31.669526312692,NA,3,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,FALSE,0,#3c8dbc
7,Belarus,10786,Country,2022-03-15,1816,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,NA,3,2022,Ukrainian Asylum-seekers/applications cumulative,5460,2,1,0,FALSE,0,#3c8dbc
